
 ----------------------------------------------

    SimVascular Fluid-Structure Interaction
                  (svFSI v8)

 ----------------------------------------------

 This program comes with ABSOLUTELY NO WARRANTY
 Compiled on 02-23-2019

 Running in parallel with 24 tasks
 Number of meshes: 1
 Reading mesh <msh>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-complete.mesh.vtu>
 Checking IEN array structure for mesh <msh>
 Make sure nodes in elements are arranged 1-4 on
      one face and 5-8 on the opposite face
 Number of available faces: 6
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/X0.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/X1sym.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/Y0.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/Y1sym.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/Z0.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/Z1.vtp>
 Number of nodes: 18786
 Number of elements: 15000
 Loading fiber directions
 Mesh data imported successfully
 Domain size X: 0.000000 1.500000
 Domain size Y: 0.000000 2.500E-1
 Domain size Z: 0.000000 5.000000
 Number of equations: 1
 Using preconditioner: Trilinos-ILUT
 Number of imposed BC for equation <vms_struct>: 5
 Configuration is completed successfully
 ParMETIS partitioned the mesh by cutting 2773 elements
 Constructing stiffness matrix sparse structure
 Total number of non-zeros in the LHS matrix: 465966
 Initializing state variables to zero
 Volume of domain 1.874999
 Area of face <X0> is 1.249999
 Area of face <X1s> is 1.250000
 Area of face <Y0> is 7.500000
 Area of face <Y1s> is 7.500000
 Area of face <Z0> is 3.749E-1
 Area of face <Z1> is 3.749E-1

----------------------------------------------------------
Eq     N-i     T      dB   Ri/R0    R/Ri     lsIt  dB  %t
----------------------------------------------------------
 New time step size: 1.000E-4
ST  9195-2  3.85E4  [ -79 2.90E-6 8.36E-7]  [  91 -54  88]
ST  9195-3  3.85E4  [-175 4.8E-11 8.59E-7]  [ 106  -6  91]
ST  9196-1  3.85E4  [   0 2.87E-2 8.90E-7]  [  88 -31  87]
ST  9196-2  3.85E4  [ -79 2.90E-6 8.32E-7]  [  91 -54  88]
ST  9196-3  3.85E4  [-175 4.9E-11 8.82E-7]  [ 106  -5  91]
ST  9197-1  3.85E4  [   0 2.87E-2 8.86E-7]  [  88 -31  87]
ST  9197-2  3.85E4  [ -79 2.90E-6 8.47E-7]  [  91 -53  88]
ST  9197-3  3.85E4  [-175 4.9E-11 8.88E-7]  [ 106  -5  91]
ST  9198-1  3.85E4  [   0 2.87E-2 8.85E-7]  [  88 -31  87]
ST  9198-2  3.85E4  [ -79 2.90E-6 8.50E-7]  [  91 -53  88]
ST  9198-3  3.86E4  [-175 4.8E-11 8.44E-7]  [ 107  -7  91]
ST  9199-1  3.86E4  [   0 2.87E-2 8.84E-7]  [  88 -31  87]
ST  9199-2  3.86E4  [ -79 2.90E-6 8.54E-7]  [  91 -53  88]
ST  9199-3  3.86E4  [-174 5.1E-11 9.63E-7]  [ 106  -4  91]
ST  9200-1  3.86E4  [   0 2.87E-2 8.87E-7]  [  88 -31  87]
ST  9200-2  3.86E4  [ -79 2.90E-6 8.49E-7]  [  91 -53  88]
ST  9200-3s 3.86E4  [-175 4.8E-11 8.93E-7]  [ 106  -6  86]
ST  9201-1  3.86E4  [   0 2.87E-2 8.91E-7]  [  88 -31  50]
ST  9201-2  3.86E4  [ -79 2.90E-6 8.35E-7]  [  91 -54  88]
ST  9201-3  3.86E4  [-175 4.8E-11 9.80E-7]  [ 106  -4  91]
ST  9202-1  3.86E4  [   0 2.87E-2 8.90E-7]  [  88 -31  87]
ST  9202-2  3.86E4  [ -79 2.90E-6 8.35E-7]  [  91 -54  88]
ST  9202-3  3.86E4  [-175 5.0E-11 8.83E-7]  [ 106  -5  91]
ST  9203-1  3.86E4  [   0 2.87E-2 8.88E-7]  [  88 -31  87]
ST  9203-2  3.86E4  [ -79 2.90E-6 8.37E-7]  [  91 -54  88]
ST  9203-3  3.86E4  [-175 4.9E-11 9.25E-7]  [ 106  -5  92]
ST  9204-1  3.86E4  [   0 2.86E-2 8.92E-7]  [  88 -31  87]
ST  9204-2  3.86E4  [ -79 2.90E-6 8.30E-7]  [  91 -54  88]
ST  9204-3  3.86E4  [-175 4.8E-11 9.14E-7]  [ 107  -6  91]
ST  9205-1  3.86E4  [   0 2.86E-2 8.89E-7]  [  88 -31  87]
ST  9205-2  3.86E4  [ -79 2.90E-6 8.37E-7]  [  91 -54  88]
ST  9205-3  3.86E4  [-175 4.9E-11 8.73E-7]  [ 107  -5  91]
ST  9206-1  3.86E4  [   0 2.86E-2 8.90E-7]  [  88 -31  88]
ST  9206-2  3.86E4  [ -79 2.90E-6 8.34E-7]  [  91 -54  88]
ST  9206-3  3.86E4  [-175 4.8E-11 9.09E-7]  [ 106  -5  91]
ST  9207-1  3.86E4  [   0 2.86E-2 8.94E-7]  [  88 -31  87]
ST  9207-2  3.86E4  [ -79 2.90E-6 8.26E-7]  [  91 -54  88]
ST  9207-3  3.86E4  [-175 4.9E-11 9.78E-7]  [ 105  -3  91]
ST  9208-1  3.86E4  [   0 2.86E-2 8.90E-7]  [  88 -31  87]
ST  9208-2  3.86E4  [ -79 2.89E-6 8.41E-7]  [  91 -54  88]
ST  9208-3  3.86E4  [-175 5.0E-11 8.91E-7]  [ 107  -6  91]
ST  9209-1  3.86E4  [   0 2.86E-2 8.86E-7]  [  88 -31  87]
ST  9209-2  3.86E4  [ -79 2.89E-6 8.48E-7]  [  91 -54  88]
ST  9209-3  3.86E4  [-175 4.8E-11 7.88E-7]  [ 108  -8  91]
ST  9210-1  3.86E4  [   0 2.86E-2 8.86E-7]  [  88 -31  87]
ST  9210-2  3.86E4  [ -79 2.89E-6 8.49E-7]  [  91 -54  87]
ST  9210-3s 3.86E4  [-175 4.8E-11 9.57E-7]  [ 106  -5  92]
ST  9211-1  3.86E4  [   0 2.86E-2 8.90E-7]  [  88 -31  49]
ST  9211-2  3.86E4  [ -79 2.89E-6 8.40E-7]  [  91 -54  88]
ST  9211-3  3.86E4  [-175 4.7E-11 7.37E-7]  [ 106  -6  91]
ST  9212-1  3.86E4  [   0 2.86E-2 8.95E-7]  [  88 -31  87]
ST  9212-2  3.86E4  [ -79 2.89E-6 8.23E-7]  [  91 -54  88]
ST  9212-3  3.86E4  [-175 4.7E-11 9.88E-7]  [ 106  -5  90]
ST  9213-1  3.86E4  [   0 2.86E-2 8.93E-7]  [  88 -31  87]
ST  9213-2  3.86E4  [ -79 2.89E-6 8.27E-7]  [  91 -54  87]
ST  9213-3  3.86E4  [-175 4.8E-11 8.32E-7]  [ 106  -5  91]
ST  9214-1  3.86E4  [   0 2.86E-2 8.91E-7]  [  88 -31  87]
ST  9214-2  3.86E4  [ -79 2.89E-6 8.31E-7]  [  91 -54  87]
ST  9214-3  3.86E4  [-175 4.8E-11 9.26E-7]  [ 105  -4  91]
ST  9215-1  3.86E4  [   0 2.86E-2 8.94E-7]  [  88 -31  87]
ST  9215-2  3.86E4  [ -79 2.89E-6 8.28E-7]  [  91 -54  88]
ST  9215-3  3.86E4  [-175 4.8E-11 9.66E-7]  [ 106  -5  91]
ST  9216-1  3.86E4  [   0 2.86E-2 8.93E-7]  [  88 -31  87]
ST  9216-2  3.86E4  [ -79 2.89E-6 8.30E-7]  [  91 -54  88]
ST  9216-3  3.86E4  [-175 4.9E-11 9.08E-7]  [ 107  -6  91]
ST  9217-1  3.86E4  [   0 2.86E-2 8.96E-7]  [  88 -31  87]
ST  9217-2  3.86E4  [ -79 2.89E-6 8.22E-7]  [  91 -54  88]
ST  9217-3  3.86E4  [-175 4.9E-11 7.66E-7]  [ 107  -6  92]
ST  9218-1  3.86E4  [   0 2.86E-2 8.98E-7]  [  88 -31  87]
ST  9218-2  3.86E4  [ -79 2.89E-6 8.14E-7]  [  91 -54  87]
ST  9218-3  3.86E4  [-175 4.9E-11 8.64E-7]  [ 107  -4  91]
ST  9219-1  3.86E4  [   0 2.86E-2 8.97E-7]  [  88 -31  87]
ST  9219-2  3.86E4  [ -79 2.89E-6 8.20E-7]  [  91 -54  88]
ST  9219-3  3.86E4  [-175 4.9E-11 8.63E-7]  [ 108  -7  91]
ST  9220-1  3.86E4  [   0 2.86E-2 8.91E-7]  [  88 -31  87]
ST  9220-2  3.86E4  [ -79 2.89E-6 8.35E-7]  [  91 -54  87]
ST  9220-3s 3.86E4  [-175 4.8E-11 9.58E-7]  [ 106  -4  91]
ST  9221-1  3.86E4  [   0 2.86E-2 8.95E-7]  [  88 -31  49]
ST  9221-2  3.86E4  [ -79 2.89E-6 8.24E-7]  [  91 -54  88]
ST  9221-3  3.87E4  [-175 4.9E-11 8.13E-7]  [ 106  -5  91]
ST  9222-1  3.87E4  [   0 2.86E-2 8.93E-7]  [  88 -31  87]
ST  9222-2  3.87E4  [ -79 2.89E-6 8.29E-7]  [  91 -54  88]
ST  9222-3  3.87E4  [-175 4.8E-11 6.94E-7]  [ 107  -7  91]
ST  9223-1  3.87E4  [   0 2.86E-2 8.89E-7]  [  88 -31  87]
ST  9223-2  3.87E4  [ -79 2.89E-6 8.46E-7]  [  91 -53  88]
ST  9223-3  3.87E4  [-175 4.8E-11 8.16E-7]  [ 107  -6  91]
ST  9224-1  3.87E4  [   0 2.86E-2 8.89E-7]  [  88 -31  87]
ST  9224-2  3.87E4  [ -79 2.89E-6 8.42E-7]  [  91 -54  87]
ST  9224-3  3.87E4  [-175 4.8E-11 9.44E-7]  [ 106  -5  92]
ST  9225-1  3.87E4  [   0 2.86E-2 8.90E-7]  [  88 -31  87]
ST  9225-2  3.87E4  [ -79 2.89E-6 8.38E-7]  [  91 -54  88]
ST  9225-3  3.87E4  [-175 4.9E-11 9.32E-7]  [ 107  -5  91]
ST  9226-1  3.87E4  [   0 2.86E-2 8.91E-7]  [  88 -31  87]
ST  9226-2  3.87E4  [ -79 2.89E-6 8.37E-7]  [  91 -54  88]
ST  9226-3  3.87E4  [-175 4.9E-11 8.81E-7]  [ 106  -5  91]
ST  9227-1  3.87E4  [   0 2.86E-2 8.90E-7]  [  88 -31  87]
ST  9227-2  3.87E4  [ -79 2.89E-6 8.45E-7]  [  91 -54  88]
ST  9227-3  3.87E4  [-175 5.0E-11 8.52E-7]  [ 107  -6  91]
ST  9228-1  3.87E4  [   0 2.86E-2 8.95E-7]  [  88 -31  87]
ST  9228-2  3.87E4  [ -79 2.89E-6 8.31E-7]  [  91 -54  88]
ST  9228-3  3.87E4  [-175 4.9E-11 9.31E-7]  [ 107  -5  91]
ST  9229-1  3.87E4  [   0 2.86E-2 8.94E-7]  [  88 -31  87]
ST  9229-2  3.87E4  [ -79 2.89E-6 8.25E-7]  [  91 -54  88]
ST  9229-3  3.87E4  [-175 4.9E-11 9.14E-7]  [ 107  -6  91]
ST  9230-1  3.87E4  [   0 2.86E-2 8.96E-7]  [  88 -31  87]
ST  9230-2  3.87E4  [ -79 2.89E-6 8.19E-7]  [  91 -54  88]
ST  9230-3s 3.87E4  [-175 4.7E-11 8.47E-7]  [ 107  -6  91]
ST  9231-1  3.87E4  [   0 2.86E-2 8.99E-7]  [  88 -31  48]
ST  9231-2  3.87E4  [ -79 2.89E-6 8.16E-7]  [  91 -54  88]
ST  9231-3  3.87E4  [-175 4.9E-11 8.96E-7]  [ 105  -3  91]
ST  9232-1  3.87E4  [   0 2.86E-2 8.97E-7]  [  88 -31  87]
ST  9232-2  3.87E4  [ -79 2.89E-6 8.18E-7]  [  91 -54  88]
ST  9232-3  3.87E4  [-175 5.0E-11 7.03E-7]  [ 106  -6  91]
ST  9233-1  3.87E4  [   0 2.86E-2 9.02E-7]  [  88 -31  87]
ST  9233-2  3.87E4  [ -79 2.89E-6 8.01E-7]  [  91 -54  88]
ST  9233-3  3.87E4  [-175 5.0E-11 8.07E-7]  [ 106  -4  91]
ST  9234-1  3.87E4  [   0 2.86E-2 8.98E-7]  [  88 -31  87]
ST  9234-2  3.87E4  [ -79 2.89E-6 8.09E-7]  [  91 -54  87]
ST  9234-3  3.87E4  [-175 4.9E-11 8.88E-7]  [ 105  -3  91]
ST  9235-1  3.87E4  [   0 2.86E-2 8.98E-7]  [  88 -31  87]
ST  9235-2  3.87E4  [ -79 2.89E-6 8.08E-7]  [  91 -54  88]
ST  9235-3  3.87E4  [-175 5.0E-11 9.67E-7]  [ 105  -3  91]
ST  9236-1  3.87E4  [   0 2.86E-2 8.98E-7]  [  88 -31  87]
ST  9236-2  3.87E4  [ -79 2.89E-6 8.15E-7]  [  91 -54  88]
ST  9236-3  3.87E4  [-175 4.9E-11 7.09E-7]  [ 107  -7  91]
ST  9237-1  3.87E4  [   0 2.86E-2 8.93E-7]  [  88 -31  87]
ST  9237-2  3.87E4  [ -79 2.89E-6 8.20E-7]  [  91 -54  88]
ST  9237-3  3.87E4  [-175 4.8E-11 7.98E-7]  [ 106  -5  91]
ST  9238-1  3.87E4  [   0 2.86E-2 8.99E-7]  [  88 -31  87]
ST  9238-2  3.87E4  [ -79 2.89E-6 8.12E-7]  [  91 -54  88]
ST  9238-3  3.87E4  [-175 4.8E-11 8.40E-7]  [ 107  -7  92]
ST  9239-1  3.87E4  [   0 2.86E-2 8.98E-7]  [  88 -31  87]
ST  9239-2  3.87E4  [ -79 2.89E-6 8.13E-7]  [  91 -54  88]
ST  9239-3  3.87E4  [-175 5.0E-11 9.23E-7]  [ 106  -4  91]
ST  9240-1  3.87E4  [   0 2.86E-2 8.91E-7]  [  88 -31  87]
ST  9240-2  3.87E4  [ -79 2.89E-6 8.25E-7]  [  91 -54  88]
ST  9240-3s 3.87E4  [-175 4.8E-11 8.66E-7]  [ 107  -6  91]
ST  9241-1  3.87E4  [   0 2.86E-2 8.92E-7]  [  88 -31  50]
ST  9241-2  3.87E4  [ -79 2.89E-6 8.26E-7]  [  91 -54  88]
ST  9241-3  3.87E4  [-175 4.7E-11 8.34E-7]  [ 107  -6  91]
ST  9242-1  3.87E4  [   0 2.86E-2 8.93E-7]  [  88 -31  87]
ST  9242-2  3.87E4  [ -79 2.89E-6 8.17E-7]  [  91 -54  88]
ST  9242-3  3.87E4  [-175 4.7E-11 7.44E-7]  [ 107  -7  91]
ST  9243-1  3.87E4  [   0 2.86E-2 8.95E-7]  [  88 -31  87]
ST  9243-2  3.87E4  [ -79 2.89E-6 8.15E-7]  [  91 -54  88]
ST  9243-3  3.87E4  [-175 4.7E-11 9.78E-7]  [ 107  -5  91]
ST  9244-1  3.87E4  [   0 2.86E-2 8.96E-7]  [  88 -31  87]
ST  9244-2  3.87E4  [ -79 2.89E-6 8.16E-7]  [  91 -54  88]
ST  9244-3  3.87E4  [-175 5.0E-11 9.16E-7]  [ 106  -4  91]
ST  9245-1  3.87E4  [   0 2.86E-2 8.93E-7]  [  88 -31  87]
ST  9245-2  3.88E4  [ -79 2.89E-6 8.20E-7]  [  91 -54  88]
ST  9245-3  3.88E4  [-175 4.8E-11 8.08E-7]  [ 107  -7  91]
ST  9246-1  3.88E4  [   0 2.86E-2 8.90E-7]  [  88 -31  87]
ST  9246-2  3.88E4  [ -79 2.89E-6 8.27E-7]  [  91 -54  88]
ST  9246-3  3.88E4  [-175 4.8E-11 8.08E-7]  [ 107  -7  91]
ST  9247-1  3.88E4  [   0 2.86E-2 8.93E-7]  [  88 -31  87]
ST  9247-2  3.88E4  [ -79 2.89E-6 8.22E-7]  [  91 -54  88]
ST  9247-3  3.88E4  [-175 4.7E-11 9.52E-7]  [ 106  -5  91]
ST  9248-1  3.88E4  [   0 2.86E-2 8.98E-7]  [  88 -31  87]
ST  9248-2  3.88E4  [ -79 2.89E-6 8.11E-7]  [  91 -54  88]
ST  9248-3  3.88E4  [-175 4.8E-11 8.50E-7]  [ 107  -6  91]
ST  9249-1  3.88E4  [   0 2.86E-2 8.98E-7]  [  88 -31  87]
ST  9249-2  3.88E4  [ -79 2.89E-6 8.10E-7]  [  91 -54  88]
ST  9249-3  3.88E4  [-175 4.9E-11 9.10E-7]  [ 106  -5  91]
ST  9250-1  3.88E4  [   0 2.86E-2 8.98E-7]  [  88 -31  87]
ST  9250-2  3.88E4  [ -79 2.89E-6 8.07E-7]  [  91 -54  88]
ST  9250-3s 3.88E4  [-175 4.8E-11 7.98E-7]  [ 107  -6  91]
ST  9251-1  3.88E4  [   0 2.86E-2 8.94E-7]  [  88 -31  42]
ST  9251-2  3.88E4  [ -79 2.89E-6 8.14E-7]  [  91 -54  88]
ST  9251-3  3.88E4  [-175 4.7E-11 8.69E-7]  [ 107  -6  91]
ST  9252-1  3.88E4  [   0 2.86E-2 8.96E-7]  [  88 -31  87]
ST  9252-2  3.88E4  [ -79 2.89E-6 8.11E-7]  [  91 -54  88]
ST  9252-3  3.88E4  [-175 4.9E-11 8.03E-7]  [ 106  -6  91]
ST  9253-1  3.88E4  [   0 2.86E-2 8.99E-7]  [  88 -31  87]
ST  9253-2  3.88E4  [ -79 2.89E-6 8.09E-7]  [  91 -54  66]
ST  9253-3  3.88E4  [-175 4.9E-11 9.01E-7]  [ 106  -5  91]
ST  9254-1  3.88E4  [   0 2.86E-2 9.04E-7]  [  88 -31  87]
ST  9254-2  3.88E4  [ -79 2.89E-6 8.06E-7]  [  91 -54  88]
ST  9254-3  3.88E4  [-175 4.8E-11 9.16E-7]  [ 107  -5  91]
ST  9255-1  3.88E4  [   0 2.86E-2 9.04E-7]  [  88 -31  87]
ST  9255-2  3.88E4  [ -79 2.89E-6 8.02E-7]  [  91 -54  88]
ST  9255-3  3.88E4  [-175 4.9E-11 8.05E-7]  [ 107  -6  91]
ST  9256-1  3.88E4  [   0 2.86E-2 8.99E-7]  [  88 -31  87]
ST  9256-2  3.88E4  [ -79 2.89E-6 8.16E-7]  [  91 -54  88]
ST  9256-3  3.88E4  [-175 4.8E-11 8.44E-7]  [ 107  -6  91]
ST  9257-1  3.88E4  [   0 2.86E-2 9.00E-7]  [  88 -31  87]
ST  9257-2  3.88E4  [ -79 2.89E-6 8.15E-7]  [  91 -54  87]
ST  9257-3  3.88E4  [-175 4.8E-11 9.07E-7]  [ 106  -5  91]
ST  9258-1  3.88E4  [   0 2.86E-2 9.01E-7]  [  88 -31  88]
ST  9258-2  3.88E4  [ -79 2.89E-6 8.12E-7]  [  91 -54  88]
ST  9258-3  3.88E4  [-175 4.8E-11 8.89E-7]  [ 106  -5  91]
ST  9259-1  3.88E4  [   0 2.86E-2 8.97E-7]  [  88 -31  87]
ST  9259-2  3.88E4  [ -79 2.89E-6 8.18E-7]  [  91 -54  88]
ST  9259-3  3.88E4  [-175 4.8E-11 9.60E-7]  [ 106  -3  92]
ST  9260-1  3.88E4  [   0 2.86E-2 8.98E-7]  [  88 -31  87]
ST  9260-2  3.88E4  [ -79 2.89E-6 8.17E-7]  [  91 -54  88]
ST  9260-3s 3.88E4  [-174 5.0E-11 9.29E-7]  [ 106  -5  91]
ST  9261-1  3.88E4  [   0 2.86E-2 8.98E-7]  [  88 -31  50]
ST  9261-2  3.88E4  [ -79 2.89E-6 8.10E-7]  [  91 -54  88]
ST  9261-3  3.88E4  [-175 4.8E-11 7.88E-7]  [ 107  -7  91]
ST  9262-1  3.88E4  [   0 2.85E-2 8.95E-7]  [  88 -31  88]
ST  9262-2  3.88E4  [ -79 2.89E-6 8.15E-7]  [  91 -54  88]
ST  9262-3  3.88E4  [-175 5.0E-11 9.43E-7]  [ 106  -4  91]
ST  9263-1  3.88E4  [   0 2.85E-2 8.93E-7]  [  88 -31  87]
ST  9263-2  3.88E4  [ -79 2.89E-6 8.23E-7]  [  91 -54  87]
ST  9263-3  3.88E4  [-175 4.7E-11 8.88E-7]  [ 107  -6  91]
ST  9264-1  3.88E4  [   0 2.85E-2 8.94E-7]  [  88 -31  87]
ST  9264-2  3.88E4  [ -79 2.89E-6 8.19E-7]  [  91 -54  88]
ST  9264-3  3.88E4  [-175 4.8E-11 8.35E-7]  [ 107  -6  91]
ST  9265-1  3.88E4  [   0 2.85E-2 8.99E-7]  [  88 -31  87]
ST  9265-2  3.88E4  [ -79 2.89E-6 8.05E-7]  [  91 -54  88]
ST  9265-3  3.88E4  [-175 4.8E-11 8.31E-7]  [ 106  -5  91]
ST  9266-1  3.88E4  [   0 2.85E-2 8.94E-7]  [  88 -31  87]
ST  9266-2  3.88E4  [ -79 2.89E-6 8.18E-7]  [  91 -54  88]
ST  9266-3  3.88E4  [-175 4.7E-11 9.80E-7]  [ 106  -4  92]
ST  9267-1  3.88E4  [   0 2.85E-2 9.00E-7]  [  88 -31  87]
ST  9267-2  3.88E4  [ -79 2.89E-6 8.06E-7]  [  91 -54  88]
ST  9267-3  3.88E4  [-175 4.8E-11 8.57E-7]  [ 107  -6  91]
ST  9268-1  3.88E4  [   0 2.85E-2 8.99E-7]  [  88 -31  87]
ST  9268-2  3.89E4  [ -79 2.89E-6 8.10E-7]  [  91 -54  88]
ST  9268-3  3.89E4  [-175 4.8E-11 8.32E-7]  [ 107  -6  91]
ST  9269-1  3.89E4  [   0 2.85E-2 8.95E-7]  [  88 -31  87]
ST  9269-2  3.89E4  [ -79 2.89E-6 8.20E-7]  [  91 -54  88]
ST  9269-3  3.89E4  [-175 4.7E-11 9.98E-7]  [ 106  -4  91]
ST  9270-1  3.89E4  [   0 2.85E-2 8.96E-7]  [  88 -31  87]
ST  9270-2  3.89E4  [ -79 2.89E-6 8.15E-7]  [  91 -54  88]
ST  9270-3s 3.89E4  [-175 4.8E-11 8.47E-7]  [ 105  -3  91]
ST  9271-1  3.89E4  [   0 2.85E-2 8.98E-7]  [  88 -31  50]
ST  9271-2  3.89E4  [ -79 2.89E-6 8.04E-7]  [  91 -54  88]
ST  9271-3  3.89E4  [-175 4.9E-11 7.61E-7]  [ 107  -7  91]
ST  9272-1  3.89E4  [   0 2.85E-2 8.97E-7]  [  88 -31  87]
ST  9272-2  3.89E4  [ -79 2.89E-6 8.18E-7]  [  91 -54  88]
ST  9272-3  3.89E4  [-175 4.8E-11 9.80E-7]  [ 106  -4  91]
ST  9273-1  3.89E4  [   0 2.85E-2 8.97E-7]  [  88 -31  87]
ST  9273-2  3.89E4  [ -79 2.89E-6 8.11E-7]  [  91 -54  88]
ST  9273-3  3.89E4  [-175 4.9E-11 9.45E-7]  [ 106  -5  82]
ST  9274-1  3.89E4  [   0 2.85E-2 9.00E-7]  [  88 -31  87]
ST  9274-2  3.89E4  [ -79 2.89E-6 8.01E-7]  [  91 -54  88]
ST  9274-3  3.89E4  [-175 4.8E-11 7.93E-7]  [ 107  -6  90]
ST  9275-1  3.89E4  [   0 2.85E-2 8.98E-7]  [  88 -31  87]
ST  9275-2  3.89E4  [ -79 2.89E-6 8.12E-7]  [  91 -54  88]
ST  9275-3  3.89E4  [-175 4.8E-11 9.16E-7]  [ 106  -5  91]
ST  9276-1  3.89E4  [   0 2.85E-2 8.92E-7]  [  88 -31  87]
ST  9276-2  3.89E4  [ -79 2.89E-6 8.18E-7]  [  91 -54  87]
ST  9276-3  3.89E4  [-175 4.9E-11 8.98E-7]  [ 106  -5  91]
ST  9277-1  3.89E4  [   0 2.85E-2 8.96E-7]  [  88 -31  87]
ST  9277-2  3.89E4  [ -79 2.89E-6 8.14E-7]  [  91 -54  88]
ST  9277-3  3.89E4  [-175 4.8E-11 9.42E-7]  [ 106  -3  91]
ST  9278-1  3.89E4  [   0 2.85E-2 8.90E-7]  [  88 -31  87]
ST  9278-2  3.89E4  [ -79 2.89E-6 8.27E-7]  [  91 -54  88]
ST  9278-3  3.89E4  [-175 4.6E-11 9.59E-7]  [ 106  -5  91]
ST  9279-1  3.89E4  [   0 2.85E-2 8.88E-7]  [  88 -31  87]
ST  9279-2  3.89E4  [ -79 2.89E-6 8.30E-7]  [  91 -54  88]
ST  9279-3  3.89E4  [-175 4.8E-11 9.78E-7]  [ 106  -5  91]
ST  9280-1  3.89E4  [   0 2.85E-2 8.93E-7]  [  88 -31  87]
ST  9280-2  3.89E4  [ -79 2.89E-6 8.25E-7]  [  91 -54  88]
ST  9280-3s 3.89E4  [-175 4.8E-11 7.52E-7]  [ 106  -6  92]
ST  9281-1  3.89E4  [   0 2.85E-2 8.90E-7]  [  88 -31  50]
ST  9281-2  3.89E4  [ -79 2.89E-6 8.20E-7]  [  91 -54  88]
ST  9281-3  3.89E4  [-175 4.8E-11 9.63E-7]  [ 105  -3  91]
ST  9282-1  3.89E4  [   0 2.85E-2 8.94E-7]  [  88 -31  87]
ST  9282-2  3.89E4  [ -79 2.89E-6 8.18E-7]  [  91 -54  88]
ST  9282-3  3.89E4  [-175 4.8E-11 9.36E-7]  [ 106  -5  91]
ST  9283-1  3.89E4  [   0 2.85E-2 8.96E-7]  [  88 -31  87]
ST  9283-2  3.89E4  [ -79 2.89E-6 8.11E-7]  [  91 -54  88]
ST  9283-3  3.89E4  [-175 4.9E-11 6.81E-7]  [ 107  -7  91]
ST  9284-1  3.89E4  [   0 2.85E-2 9.00E-7]  [  88 -31  87]
ST  9284-2  3.89E4  [ -79 2.89E-6 8.10E-7]  [  91 -54  88]
ST  9284-3  3.89E4  [-175 4.9E-11 8.41E-7]  [ 106  -5  91]
ST  9285-1  3.89E4  [   0 2.85E-2 8.97E-7]  [  88 -31  87]
ST  9285-2  3.89E4  [ -79 2.89E-6 8.15E-7]  [  91 -54  88]
ST  9285-3  3.89E4  [-175 4.9E-11 8.60E-7]  [ 107  -6  91]
ST  9286-1  3.89E4  [   0 2.85E-2 8.94E-7]  [  88 -31  87]
ST  9286-2  3.89E4  [ -79 2.89E-6 8.19E-7]  [  91 -54  88]
ST  9286-3  3.89E4  [-175 4.9E-11 7.86E-7]  [ 106  -5  91]
ST  9287-1  3.89E4  [   0 2.85E-2 8.98E-7]  [  88 -31  87]
ST  9287-2  3.89E4  [ -79 2.89E-6 8.15E-7]  [  91 -54  88]
ST  9287-3  3.89E4  [-175 4.9E-11 8.03E-7]  [ 107  -6  91]
ST  9288-1  3.89E4  [   0 2.85E-2 8.97E-7]  [  88 -31  87]
ST  9288-2  3.89E4  [ -79 2.89E-6 8.08E-7]  [  91 -54  88]
ST  9288-3  3.89E4  [-175 4.8E-11 8.79E-7]  [ 107  -5  91]
ST  9289-1  3.89E4  [   0 2.85E-2 8.99E-7]  [  88 -31  87]
ST  9289-2  3.89E4  [ -79 2.89E-6 8.02E-7]  [  91 -54  88]
ST  9289-3  3.89E4  [-175 4.8E-11 8.74E-7]  [ 107  -6  91]
ST  9290-1  3.89E4  [   0 2.85E-2 8.94E-7]  [  88 -31  88]
ST  9290-2  3.89E4  [ -79 2.89E-6 8.19E-7]  [  91 -54  88]
ST  9290-3s 3.89E4  [-175 5.0E-11 9.60E-7]  [ 106  -4  91]
ST  9291-1  3.89E4  [   0 2.85E-2 8.96E-7]  [  88 -31  50]
ST  9291-2  3.89E4  [ -79 2.89E-6 8.15E-7]  [  91 -54  88]
ST  9291-3  3.90E4  [-175 4.8E-11 9.75E-7]  [ 105  -3  91]
ST  9292-1  3.90E4  [   0 2.85E-2 8.95E-7]  [  88 -31  87]
ST  9292-2  3.90E4  [ -79 2.89E-6 8.10E-7]  [  91 -54  88]
ST  9292-3  3.90E4  [-175 4.9E-11 9.20E-7]  [ 106  -4  91]
ST  9293-1  3.90E4  [   0 2.85E-2 8.93E-7]  [  88 -31  87]
ST  9293-2  3.90E4  [ -79 2.89E-6 8.10E-7]  [  91 -54  88]
ST  9293-3  3.90E4  [-175 4.9E-11 9.86E-7]  [ 106  -5  91]
ST  9294-1  3.90E4  [   0 2.85E-2 8.94E-7]  [  88 -31  87]
